Tf_name	AUC_0	AUC_1	AUC_2	AUC_3	AUC_4	AUC_5	AUC_6	AUC_7	AUC_8	AUC_9	AUC_10	AUC_11	AUC_12	AUC_13	AUC_14	AUC_15	AUC_16	AUC_17	AUC_18	AUC_19	AUC_20	AUC_21	AUC_22	AUC_23	AUC_24	AUC_25	AUC_26	AUC_27	AUC_28	AUC_29	AUC_30	AUC_31	AUC_32	AUC_33	AUC_34	AUC_35	AUC_36	AUC_37	AUC_38	AUC_39	AUC_40	AUC_41	AUC_42	AUC_43	AUC_44	AUC_45	AUC_46	AUC_47	AUC_48	AUC_49	AUC_50	AUC_51	AUC_52	AUC_53	AUC_54	AUC_55	AUC_56	AUC_57	AUC_58	AUC_59	AUC_60	AUC_61	AUC_62	AUC_63	AUC_64	AUC_65	AUC_66	AUC_67	AUC_68	AUC_69	AUC_70	AUC_71	AUC_72	AUC_73	AUC_74	AUC_75	AUC_76	AUC_77	
Ap2	0.826875588097	0.871615518201	0.911119653869	0.931998125675	0.940747366418	0.945861855122	0.94972307793	0.947539503187	0.943204939296	0.959632551895	0.965452721794	0.970452221468	0.609942932802	0.665714866718	0.885092175177	0.74527453425	0.886544927176	0.914192237321	0.632763709963	0.879622036465	0.907663541026	0.929889027176	0.693305201283	0.884479562445	0.912399689698	0.93136876384	0.941814495389	0.773332680548	0.892449003636	0.916405964026	0.931464176462	0.941567088243	0.945811035196	0.633612653245	0.831527561793	0.872240138036	0.903347354622	0.925740743365	0.934156988334	0.941652873709	0.581406256062	0.83222912729	0.866477015293	0.900207452663	0.920397940777	0.931535521196	0.938564525344	0.944350105484	0.77335512005	0.891843870738	0.916624758122	0.940313732875	0.953385977766	0.957256040378	0.961302165401	0.963766663388	0.963054576019	0.69894390468	0.896245073151	0.92140426478	0.935118844902	0.945470148018	0.948886875418	0.952882985761	0.955389428081	0.955187096778	0.950941127764	0.87446066459	0.908264772959	0.927729735054	0.939628147024	0.94786874115	0.952117966934	0.95558172066	0.957749065235	0.956035377969	0.952154990323	0.964981349087	
Arid3a	0.599843687389	0.64176179694	0.664964883262	0.677619009723	0.682114574117	0.687553926968	0.686715753737	0.728295603858	0.724796388951	0.87426160837	0.880944438397	0.880866102994	0.613226634182	0.583312088295	0.62598993185	0.579722909669	0.624316907765	0.661151158723	0.580343467256	0.632318824984	0.668949217012	0.674105700673	0.578998917165	0.624594092576	0.663944238898	0.679655704227	0.68532276963	0.60325997267	0.619262561217	0.650282653754	0.666079229018	0.67937644293	0.682958327902	0.636100493783	0.673606721292	0.700917770098	0.717301445581	0.722888306746	0.726940359868	0.730079797767	0.582133657016	0.620667225553	0.656239518617	0.674738743127	0.682149874365	0.684209514029	0.689242602561	0.689795155259	0.810878067183	0.839080914449	0.85092541935	0.859530659329	0.863752802541	0.865323403997	0.867858662585	0.867703393408	0.874713269846	0.602273045235	0.639696628634	0.677952597063	0.694221962039	0.696612178139	0.70106792593	0.702077279406	0.702588172621	0.739638689507	0.735621599204	0.590290635763	0.620724588455	0.649966197417	0.671650153159	0.679857668364	0.688090283083	0.691432775273	0.69010584935	0.727967960457	0.726832668157	0.875261851266	
Egr1	0.800331374668	0.814535869077	0.830947261713	0.83883912637	0.844047882092	0.84543851449	0.847364603188	0.854978511333	0.851148672437	0.876477801114	0.900168995617	0.902569838167	0.697559943668	0.709451614078	0.815694436014	0.709789848122	0.817499241219	0.831812453714	0.691849967828	0.816976896648	0.831200451626	0.837158761184	0.687979822506	0.815444524032	0.82925681992	0.838924352608	0.843660964683	0.77218789836	0.817381660576	0.830644174386	0.838918889388	0.844195389042	0.847194029307	0.682245990603	0.804820077942	0.820845403004	0.832669936505	0.841530794352	0.846241729291	0.850241292234	0.660359965521	0.798751593439	0.816812210905	0.829080540009	0.837764875135	0.841381527031	0.842295584504	0.847816836431	0.737966892884	0.835343454455	0.848721970644	0.858747101458	0.868541016645	0.870997098423	0.87181433549	0.876181815974	0.878344947735	0.759864754944	0.849731270259	0.862997790431	0.868059949738	0.872364845998	0.875593123627	0.875433294079	0.876157474293	0.883313503867	0.881191649771	0.799571015795	0.82831010453	0.838267855625	0.844838288677	0.849543456883	0.851133011206	0.853531364955	0.853859279583	0.856385169178	0.8539489371	0.878471269531	
Elk1	0.900166792303	0.918223368379	0.923804959333	0.927797976592	0.931149057727	0.932773021226	0.93489434636	0.936046816108	0.936716048403	0.957111525491	0.968562110692	0.969283237453	0.904654949415	0.89931108907	0.914997341797	0.901833921841	0.915209204523	0.923290458242	0.896445625868	0.916048244396	0.925429875025	0.928141717913	0.897852489585	0.913450029756	0.922342551081	0.926516008728	0.931350605039	0.903133505257	0.914196707003	0.925891529458	0.927618329696	0.929210077366	0.932085379885	0.901227534219	0.915753223567	0.925309105336	0.929723467566	0.930742313033	0.93544598294	0.936063479468	0.895950327316	0.909438127356	0.921937552073	0.926321285459	0.930907994446	0.933078674866	0.934508549891	0.934363499306	0.937617615552	0.942500614957	0.946986074192	0.950071176354	0.95175877802	0.954577425114	0.955960007935	0.95693616346	0.956153620313	0.937694901805	0.945608569728	0.952657329895	0.955996349931	0.956716683198	0.957514620115	0.959142233684	0.958394762944	0.9589373537	0.959461218012	0.8987104146	0.914381749653	0.925352430073	0.928323745289	0.930583773061	0.934120849038	0.935094306685	0.936293592541	0.939791469946	0.939146835945	0.957417813926	
Elk4	0.872597529419	0.902204106679	0.908134029696	0.909538532503	0.911020563385	0.912932222767	0.911539866526	0.918910132215	0.917998540013	0.944344439393	0.962898992165	0.961546374685	0.885226058071	0.877310246662	0.89331492054	0.880506892651	0.890724253181	0.90031898979	0.875149957592	0.895724139213	0.907241332151	0.908451190003	0.876775947762	0.896938495793	0.902239046798	0.907372545044	0.90988868348	0.870325971815	0.882579606487	0.901367193358	0.907330257003	0.908814087376	0.910866856853	0.871382123136	0.897208719374	0.906914424601	0.915567877404	0.916309567654	0.919550751048	0.919734599055	0.865267452364	0.890572196183	0.903502589468	0.907984671935	0.910512956936	0.911365765761	0.913285672812	0.911389609019	0.918495949346	0.921721537149	0.931391552469	0.93759529805	0.93935954912	0.940884317915	0.942069432764	0.942367098585	0.945416636175	0.91880831101	0.939837014092	0.944178886211	0.946507877572	0.948868659943	0.948768938144	0.949989592943	0.95030180465	0.953502499493	0.952652539862	0.875923888724	0.888721269625	0.902935299897	0.908943050905	0.911014864996	0.91193065601	0.91278511437	0.911695822421	0.918909082511	0.918351240269	0.943075198334	
Ets1	0.709251833623	0.769619415083	0.802515992972	0.81947737978	0.826160274989	0.833412449255	0.833878433142	0.851246955815	0.847665582512	0.903164601297	0.936025088103	0.937078485483	0.701974946743	0.677508214722	0.765592148003	0.701305750501	0.761440962277	0.80232629255	0.65342035018	0.749982843401	0.793383882184	0.81432880008	0.676692520683	0.76300745752	0.806249908883	0.819471334968	0.828670649842	0.710163889076	0.755955650992	0.790932710931	0.807888764081	0.824029656559	0.830545608284	0.724593033034	0.763793283076	0.800229276162	0.818573858179	0.836742251707	0.842712570258	0.846930248915	0.642685475277	0.72588857847	0.773922254473	0.800715705737	0.818307353087	0.820973470743	0.828437391216	0.831240761661	0.804480201285	0.831723457675	0.865795040338	0.884286831306	0.89478364729	0.897030361668	0.901469387117	0.904704072674	0.904040387878	0.793408594798	0.849203809369	0.876778819263	0.890127541977	0.897129389911	0.900904908352	0.903814596372	0.902075112834	0.906135626379	0.907501220519	0.677284023313	0.74331025993	0.793688256246	0.813851437723	0.827766417087	0.834023330841	0.83823692036	0.839898710286	0.851525017165	0.851408032275	0.905941303453	
Gabp	0.836858972506	0.855529973054	0.862521824818	0.8638799149	0.867559824872	0.867386412832	0.869482378751	0.875985064051	0.877413849963	0.915456154287	0.943176753416	0.942865030063	0.809843772485	0.793114872699	0.851323095837	0.80171017737	0.849607913856	0.860538158407	0.786775445707	0.852648100727	0.86344128892	0.865497438522	0.799373754362	0.848693659721	0.858653025021	0.862371344238	0.864666543858	0.823514687848	0.849825971891	0.859484528147	0.865093723123	0.866462309197	0.868515378454	0.832411486083	0.856640152371	0.865646778232	0.869821292808	0.873775619727	0.873655866545	0.875244145899	0.787378699039	0.841335855312	0.859165845495	0.865374110617	0.86598166122	0.869444045563	0.870411159947	0.871518981469	0.873434994367	0.895970041093	0.90571016946	0.909191986599	0.911463760382	0.913476861206	0.914241927746	0.913915449157	0.916380219893	0.869119240248	0.900468106027	0.910801105821	0.91334847545	0.915035934321	0.917884835543	0.9181869756	0.919583893246	0.92428419617	0.923673146902	0.829394610962	0.854995438046	0.867996625463	0.870015810919	0.870807497728	0.874022922029	0.873121673797	0.873339161398	0.880805804679	0.881828859658	0.916832117979	
Gata3	0.690834310722	0.739080896272	0.771854889871	0.793675546036	0.8044927596	0.811556256114	0.817496296272	0.839598294408	0.834301511936	0.887062718001	0.890066305647	0.891707959504	0.605557051309	0.601335589475	0.734188778203	0.596165489089	0.741706233338	0.77725761726	0.572933489067	0.730818582912	0.767433354912	0.79075716614	0.58145183115	0.737450248174	0.77853011477	0.792478756567	0.807078649707	0.68649392876	0.736356333595	0.769151527762	0.785487724292	0.804798488017	0.808441741996	0.68842497617	0.75845190205	0.791986625338	0.809132208599	0.822877359693	0.829382227019	0.834930114585	0.578825914833	0.710196743593	0.747860885808	0.771650877843	0.786649005705	0.796843988376	0.804729499282	0.810474737495	0.802944017524	0.840791087049	0.856030356897	0.866133702138	0.873367208675	0.877953656252	0.880823437032	0.88318799552	0.889219615183	0.601433946211	0.738437291035	0.776894137568	0.794169357092	0.806264455196	0.812044853915	0.819753461717	0.823661722802	0.845512210369	0.839929278147	0.608740554162	0.71484696665	0.752997968916	0.781458110225	0.799811836266	0.810389645596	0.817224396085	0.819363626127	0.84295232861	0.840781413566	0.889681972936	
Gr	0.551587414831	0.589267173891	0.598372221078	0.595681281692	0.588922331445	0.592227494506	0.597820051808	0.610123007532	0.617129696575	0.759078377201	0.795344100283	0.795966080757	0.604479504331	0.524687022681	0.553191636062	0.53464340265	0.546163400351	0.591884663082	0.524219507874	0.536631346092	0.573603704112	0.588470138713	0.527094120633	0.555278885702	0.58815766415	0.599043615244	0.597762594027	0.549898060321	0.559209955518	0.602691418202	0.605112976361	0.604005381879	0.592314543043	0.569347040206	0.57126727923	0.615742569991	0.612954718481	0.609936557034	0.605938070089	0.608014211224	0.544948455583	0.559149241797	0.606893018401	0.602680213934	0.602880741588	0.595061216477	0.595806252364	0.601566682148	0.712039799089	0.734848431163	0.746541089495	0.748102696206	0.747848254002	0.747176668311	0.74928843327	0.751787846722	0.7599128557	0.574115748699	0.585638810815	0.629247925535	0.624153144138	0.624277061418	0.619499542732	0.622145377761	0.62696752199	0.645586428472	0.647401232469	0.548301978942	0.556243027259	0.612064505935	0.59945108667	0.602386030098	0.596398737844	0.591305297129	0.592662258378	0.610490928853	0.615714032626	0.759680630503	
Hnf4a	0.854605727188	0.892241869504	0.916175484621	0.929875529499	0.934589803387	0.937564143462	0.940179412923	0.943496544205	0.940298506601	0.95937508551	0.964343017964	0.974702609289	0.757549979224	0.772996308038	0.892788615129	0.778534712488	0.902223282116	0.921115880631	0.73712509593	0.891184169858	0.915422071343	0.925700207903	0.754552316877	0.893527480852	0.914062971749	0.925516054324	0.935647214391	0.843088450638	0.896049634412	0.916794910295	0.927669958455	0.936537732606	0.9376685164	0.73122998773	0.872813378301	0.901029112545	0.916960648516	0.929545149897	0.934846348373	0.938469555603	0.707518742389	0.859092724387	0.888574788694	0.909185788331	0.923859711226	0.92988378466	0.933856075492	0.939143130512	0.862525370186	0.92348343755	0.939646695298	0.948372688512	0.954681247474	0.957428714958	0.959128238895	0.960712536956	0.95952073425	0.79440938599	0.906030354283	0.923984520016	0.932323617529	0.940366683835	0.940718711585	0.942689212607	0.94455141516	0.948514007622	0.946279399195	0.916366392422	0.933085228239	0.944998348391	0.949770754772	0.952417890307	0.953557448816	0.955083325742	0.95613554119	0.958891610205	0.957859137868	0.971578175388	
